p_Name,p_Type,price,sellcount,ProductID,p_link
Midea/美的 FS40-13GR,"
落地扇
",239,1.6万笔,37060387062,
Midea/美的 FZ10-15BW,"
塔扇
",259,1.6万笔,44422605232,
Midea/美的 FS40-13CR,"
落地扇
",239,3.1万笔,43869387453,
Midea/美的 FZ10-15BRW,"
塔扇
",329,1.2万笔,43911791149,
Midea/美的 FS40-11L1,"
落地扇
",149,5919笔,5.28761E+11,
SINGFUN/先锋 FS40-11AEC,"
落地扇
",129,2.2万笔,36815471186,
Midea/美的 FZ10-17ARW,"
塔扇
",399,8236笔,5.44709E+11,
Midea/美的 FS40-15KW,"
落地扇
",179,1.2万笔,5.35632E+11,
Gree/格力 FD-4027h5-WG,"
落地扇
",169,5214笔,5.28443E+11,
Airmate/艾美特 FS4092R-WA,"
落地扇
",239,1.7万笔,5.27027E+11,
SINGFUN/先锋 FS40-14EREC,"
落地扇
",179,8103笔,43933310874,
Gree/格力 FD-4012-WG,"
落地扇
",149,2.9万笔,5.45112E+11,
Midea/美的 KYT30-15AW,"
台扇
",158.99,4532笔,44141462216,
Midea/美的 FS40-16FRA,"
落地扇
",348.99,7233笔,5.36602E+11,
Midea/美的 FS40-17JRW,"
落地扇
",299,7944笔,5.4509E+11,
Midea/美的 FZ10-16BRW,"
塔扇
",599,4824笔,5.29041E+11,
AUX/奥克斯 FO-18A1,"
夹扇
",39.9,1.5万笔,5.47054E+11,
Gree/格力 FD-40X62Bh5,"
落地扇
",199,9755笔,5.45825E+11,
Airmate/艾美特 FT70R,"
塔扇
",499,5532笔,5.4751E+11,
Gree/格力 KYT-2501,"
台式转页扇
",99,3.3万笔,43911721277,
Airmate/艾美特 FT41R,"
塔扇
",299,1.1万笔,5.456E+11,
Airmate/艾美特 FT47R-W,"
塔扇
",299,3103笔,5.46794E+11,
Midea/美的 FS40-15QW,"
落地扇
",169,4329笔,5.46322E+11,
Midea/美的 FW40-11AR,"
壁扇
",219,2483笔,37239903663,
Midea/美的 KYT25-17D,"
落地式转页扇
",119,2955笔,5.46384E+11,
Airmate/艾美特 FBW32T2L,"
台式转页扇
",139,3253笔,5.45172E+11,
Airmate/艾美特 FSW65T2-5,"
落地扇
",199,4542笔,5.45194E+11,
AUX/奥克斯 FS-40-A1603,"
落地扇
",99,18万笔,5.44916E+11,
Midea/美的 FZ10-17DW,"琴键式按键,三档风速,2小时定时",259,4586笔,5.44916E+11,
Midea/美的 FS40-15HRW,"
落地扇
",249,5051笔,5.43302E+11,
Gree/格力 FD-4009B,"
落地扇
",198,7166笔,19204167539,
Airmate/艾美特 FSW71R-5,"
落地扇
",198,1352笔,22545860203,
Midea/美的 KYS30-10CR,"
落地式转页扇
",259,6394笔,5.27156E+11,
Midea/美的 FS40-15CR,"
落地扇
",399,2643笔,5.45098E+11,
Airmate/艾美特 FW4035R,"
壁扇
",219,3223笔,43821978131,
SINGFUN/先锋 FS40-10AREC,"
落地扇
",119,6165笔,5.27678E+11,
Gree/格力 fd-4020-wg,"
落地扇
",129,1523笔,44626723808,
AUX/奥克斯 FZ-A406,"
大厦扇
",219,5404笔,5.4768E+11,
