p_Name,p_Type,price,sellcount,ProductID,p_link
TOSOT/大松 KYTA-30D,"
台式转页扇
",129.00,6笔,521088732712,
Airmate/艾美特 FSW57R,"
落地扇
",369.00,2笔,43784443093,
Midea/美的 KYT25-15A,4档风速 2小时定时 1级能效,99.00,42笔,556970280647,
Midea/美的 KYS30-16A,"
落地扇
",239.00,0笔,557056801235,
Gree/格力 FD-4009,"
落地扇
",218.00,13笔,547101787253,
SINGFUN/先锋 FS40-17AR,"
塔扇
",359.00,2笔,551145402801,
SINGFUN/先锋 DTS-G1,"
落地扇
",249.00,158笔,534957333423,
Airmate/艾美特 FSW67T2,"
空调扇冷风扇
",179.00,81笔,528749399856,
奥克斯办公室家用静音节能台式落地扇 学生宿舍立式摇头电风扇,"
壁扇
",109.00,1085笔,547712881663,
艾美特电风扇FSW67R落地扇家用摇头立式遥控办公室台式静音,"
落地扇
",219.00,3笔,536084821678,
SINGFUN/先锋 LG04-14B,"
落地扇
",249.00,393笔,546269467836,
AUX/奥克斯 FW-40-C1602RC,"
落地扇
",119.00,110笔,44885526769,
SINGFUN/先锋 DLD-D6,"
落地式转页扇
",179.00,26笔,546266799795,
Airmate/艾美特 FSW70R-5,"
台式转页扇
",199.00,4笔,545849317855,
SINGFUN/先锋 FS40-14BSEC,"
壁扇
",329.00,4笔,546196780246,
Gree/格力 WKY-30X60Bah5,"
落地扇
",899.00,58笔,553855919466,
Airmate/艾美特 FB2554M,"
台扇
",239.00,5笔,25032032587,
AUX/奥克斯 FW-40-C1603,"
台扇
",109.00,63笔,547575483057,
AUX/奥克斯 FS-30-A1201,"
台扇
",119.00,14笔,534576007106,
AUX/奥克斯 FW-40-C1601RC,"
落地式转页扇
",129.00,3笔,44488754877,
SINGFUN/先锋 KYT30-10A,"
落地扇
",199.00,28笔,549131242941,
AUX/奥克斯 FO-18A5,none,59.00,20笔,552508475494,
Airmate/艾美特 FD3035M,none,239.00,43笔,556626381291,
TOSOT/大松 KYS-3005,none,258.00,3笔,528753606849,
Gree/格力 FS-3003,none,198.00,3笔,551811667356,
p_Name,p_Type,price,sellcount,ProductID,p_link
Midea/美的 FS40-13CR,"
落地扇
",239.00,3.1万笔,43869387453,
