p_Name,p_Type,price,sellcount,ProductID,p_link
Midea/美的 FS40-13GR,"
落地扇
",239.00,1.5万笔,37060387062,
Midea/美的 FZ10-15BW,"
塔扇
",259.00,1.5万笔,44422605232,
Midea/美的 FS40-13CR,"
落地扇
",239.00,2.9万笔,43869387453,
SINGFUN/先锋 FS40-11AEC,"
落地扇
",129.00,2.2万笔,36815471186,
ZOLEE/中联 ZL12-180,"
夹扇
",47.80,1.0万笔,38231453695,
Midea/美的 FZ10-17ARW,"
塔扇
",399.00,7343笔,544709372645,
Gree/格力 FD-4027h5-WG,"
落地扇
",169.00,4441笔,528443489911,
Airmate/艾美特 FS4092R-WA,"
落地扇
",239.00,1.7万笔,527027498971,
SINGFUN/先锋 FS40-14EREC,"
落地扇
",179.00,8037笔,43933310874,
Gree/格力 FD-4012-WG,"
落地扇
",149.00,2.5万笔,545112371960,
Midea/美的 KYT30-15AW,"
台扇
",158.99,3647笔,44141462216,
Midea/美的 FS40-16FRA,"
落地扇
",348.99,6857笔,536601790587,
Midea/美的 FS40-17JRW,"
落地扇
",299.00,6959笔,545090311098,
Midea/美的 FZ10-16BRW,"
塔扇
",599.00,4259笔,529041172515,
AUX/奥克斯 FO-18A1,"
夹扇
",39.90,1.5万笔,547053847173,
Gree/格力 FD-40X62Bh5,"
落地扇
",199.00,9869笔,545825035917,
Airmate/艾美特 FT70R,"
塔扇
",499.00,5376笔,547509661133,
Gree/格力 KYT-2501,"
台式转页扇
",99.00,3.2万笔,43911721277,
Airmate/艾美特 FT41R,"
塔扇
",299.00,1.1万笔,545600019222,
Airmate/艾美特 FT47R-W,"
塔扇
",299.00,2837笔,546793704616,
Midea/美的 FS40-15QW,"
落地扇
",169.00,4225笔,546322281898,
Midea/美的 FW40-11AR,"
壁扇
",219.00,209笔,37239903663,
Midea/美的 KYT25-17D,"
落地式转页扇
",119.00,2293笔,546383987865,
Airmate/艾美特 FBW32T2L,"
台式转页扇
",139.00,2593笔,545172057742,
Airmate/艾美特 FSW65T2-5,"
落地扇
",199.00,3654笔,545193963657,
Royalstar/荣事达 FD-40L117,"
落地扇
",89.00,1.4万笔,546037913978,
RED DOUBLE HAPPINESS/红双喜 F16,"
落地扇
",88.00,17万笔,527005506343,
AUX/奥克斯 FS-40-A1603,"
落地扇
",99.00,18万笔,544915951712,
Midea/美的 FZ10-17DW,"琴键式按键,三档风速,2小时定时",259.00,3480笔,544916211558,
Konka/康佳 KF-40L02,"
落地扇
",99.00,1.7万笔,527045742597,
Royalstar/荣事达 ft-1598,"
塔扇
",179.00,1.7万笔,530179065833,
Midea/美的 FS40-15HRW,"
落地扇
",249.00,3787笔,543301879476,
MeiLing/美菱 MFS-40D,"
落地扇
",89.00,8.3万笔,546673486368,
Gree/格力 FD-4009B,"
落地扇
",198.00,6488笔,19204167539,
Airmate/艾美特 FSW71R-5,"
落地扇
",198.00,1345笔,22545860203,
TCL FZ-T408,"
塔扇
",259.00,3.2万笔,547752264600,
IRIS/爱丽思 PCF-HD15NC,"
台式转页扇
",199.00,8238笔,531480217436,
Konka/康佳 KF-25HY38,"
台式转页扇
",58.80,1.2万笔,527433397302,
TCL FS-40-AT1607,"
落地扇
",139.00,5528笔,543812814585,
RED DOUBLE HAPPINESS/红双喜 B16,"
壁扇
",89.00,2.3万笔,546451794310,
Airmate/艾美特 FW4035R,"
壁扇
",219.00,2785笔,43821978131,
SINGFUN/先锋 FS40-10AREC,"
落地扇
",119.00,5329笔,527677792598,
eosin/永生 KYT-25C,"
台扇
",47.80,1.6万笔,527965557551,
Midea/美的 FS40-15KW,"
落地扇
",179.00,1.1万笔,544541857522,
MeiLing/美菱 mtf-03,"
塔扇
",129.00,6548笔,547794854284,
Gree/格力 fd-4020-wg,"
落地扇
",129.00,1499笔,44626723808,
AUX/奥克斯 FZ-A406,"
大厦扇
",219.00,5399笔,547679520779,
Haier/海尔 FSY4096B,"
落地扇
",139.00,8207笔,545063035788,
Konka/康佳 KF-TAS1601T,"
塔扇
",179.00,3063笔,546386529221,
B/贝仕特 FS4036X,"
落地扇
",79.90,2.1万笔,546190691371,
SK/艾斯凯杰 SKJ-CR305WD,循环自然风 静音 可挂壁安全节能,298.00,1.2万笔,548048519738,
SAST/先科 fb-16,"
壁扇
",75.00,2.1万笔,547083526075,
kungchung/公众 FT-35,"
落地扇
",69.00,2152笔,547990147808,
Gree/格力 FD-4042Bg7-WG,"
落地扇
",299.00,1095笔,530151106905,
