p_Name,p_Type,price,sellcount,ProductID,p_link
"
美的欧都专卖店
",等更多商家,369.10,1.5万笔,41696362194,
"
小狗香橙专卖店
",等更多商家,199.00,5470笔,537315636988,
"
美的吸尘器旗舰店
",等更多商家,139.00,2.3万笔,523867939966,
"
haier海尔朋乐专卖店
",等更多商家,119.00,9595笔,523354390833,
"
小狗电器旗舰店
",等更多商家,399.00,3585笔,7910579201,
"
小狗香橙专卖店
",等更多商家,399.00,2.1万笔,539037443614,
"
haier海尔伊克美斯专卖店
",等更多商家,299.00,6259笔,523827839091,
"
韩夫人莱丰专卖店
",等更多商家,99.00,3.2万笔,521091111235,
"
亿力亿卡专卖店
",等更多商家,178.00,5592笔,521928990880,
"
小狗电器旗舰店
",等更多商家,799.00,1296笔,41320178520,
"
扬子华派专卖店
",等更多商家,99.80,1.2万笔,537682649966,
"
haier海尔东莱专卖店
",等更多商家,299.00,4186笔,528008547204,
"
德尔玛旗舰店
",等更多商家,199.00,3263笔,546240150540,
"
midea美的大美专卖店
",等更多商家,299.00,6309笔,534184475731,
"
德尔玛旗舰店
",等更多商家,99.80,4991笔,35676284269,
"
海尔生活电器专卖店
",等更多商家,339.00,3276笔,36255869963,
"
苏泊尔天汇专卖店
",等更多商家,399.00,3108笔,532712220361,
"
philips泰璞专卖店
",等更多商家,589.00,1527笔,40996775626,
"
杰诺旗舰店
",等更多商家,159.00,7882笔,44734736085,
"
韩夫人诺希专卖店
",等更多商家,169.00,7628笔,543397276600,
"
德力普电器专营店
",等更多商家,169.00,1.0万笔,37342757183,
"
飞利浦润氏专卖店
",等更多商家,999.00,1986笔,41593991088,
"
地贝苏州专卖店
",等更多商家,699.00,1461笔,522088785497,
"
dyson戴森官方旗舰店
",等更多商家,4990.00,975笔,537174397861,
"
亿力亿卡专卖店
",等更多商家,149.00,862笔,540391003537,
"
亿力浙江专卖店
",等更多商家,109.00,2515笔,45277865475,
"
扬子华派专卖店
",等更多商家,79.80,2156笔,544559934252,
"
莱克米标专卖店
",等更多商家,799.00,717笔,20009441213,
"
eup电器旗舰店
",等更多商家,499.00,527笔,546420931711,
"
奥克斯丁丁专卖店
",等更多商家,79.90,1937笔,525791913984,
"
haier海尔伊克美斯专卖店
",等更多商家,399.00,1338笔,520102348237,
"
天猫超市
",等更多商家,119.00,6052笔,526211455203,
"
志高妙之专卖店
",等更多商家,318.00,777笔,544540724615,
"
杰诺旗舰店
",等更多商家,349.00,2039笔,523221100491,
"
dyson戴森官方旗舰店
",等更多商家,4490.00,514笔,537061935969,
"
杰诺莫甘娜专卖店
",等更多商家,888.00,1239笔,545462702084,
"
享基电器专营店
",等更多商家,189.00,1449笔,527916914747,
"
美的吸尘器旗舰店
",等更多商家,199.00,2480笔,528263059988,
"
eup爱普专卖店
",等更多商家,199.00,2527笔,553606821041,
"
dibea地贝祺骏专卖店
",等更多商家,299.00,3133笔,549175385097,
"
小狗蓝弧专卖店
",等更多商家,899.00,1276笔,551375103257,
"
飞利浦润氏专卖店
",等更多商家,2699.00,413笔,540510733173,
"
杰诺莫甘娜专卖店
",等更多商家,589.00,1476笔,37297251527,
"
lexy莱克官方旗舰店
",等更多商家,2999.00,581笔,526390048024,
"
宝家丽超雯诺专卖店
",等更多商家,249.00,2590笔,546442209298,
"
京华电器旗舰店
",等更多商家,1335.00,424笔,18919678243,
"
奥克斯超森专卖店
",等更多商家,149.00,1563笔,549499714026,
"
韩夫人火爆虎专卖店
",等更多商家,99.00,2825笔,545138695216,
"
philips飞利浦流翔专卖店
",等更多商家,899.00,163笔,40884845161,
"
路特电器专营店
",等更多商家,299.00,491笔,554130800842,
"
华联电器专营店
",等更多商家,219.00,1158笔,20065184928,
"
飞利浦官方旗舰店
",等更多商家,499.00,205笔,45212018502,
"
韩夫人莱丰专卖店
",等更多商家,399.00,409笔,542662451567,
"
philips泰璞专卖店
",none,1599.00,382笔,525380536368,
"
飞利浦上游专卖店
",none,1599.00,798笔,539468144131,
"
飞利浦上游专卖店
",等更多商家,1599.00,798笔,539468144131,
"
飞利浦官方旗舰店
",等更多商家,349.00,420笔,520538844551,
"
midea美的泽蓝专卖店
",等更多商家,339.00,553笔,529003514184,
"
鑫爱家旗舰店
",等更多商家,299.00,1806笔,544504300462,
"
信社旗舰店
",等更多商家,699.00,1060笔,531387871169,
"
杰诺清境专卖店
",等更多商家,409.00,681笔,535634019472,
"
karcher凯驰上琨专卖店
",等更多商家,799.00,207笔,525892326108,
"
vorwerk福维克旗舰店
",等更多商家,5380.00,155笔,536777154199,
"
信社浦申专卖店
",等更多商家,499.00,1271笔,527665882465,
"
philips飞浦专卖店
",等更多商家,299.00,894笔,526058452885,
"
midea美的大美专卖店
",等更多商家,799.00,257笔,538282417175,
"
华联电器专营店
",等更多商家,499.00,344笔,529745529982,
"
天猫超市
",等更多商家,299.00,109笔,538616781812,
"
泰怡凯旗舰店
",等更多商家,1699.00,157笔,522998159999,
"
德力普电器专营店
",等更多商家,299.00,762笔,525301506182,
"
海尔生活家电旗舰店
",等更多商家,998.00,565笔,542330661733,
"
midea美的恒荣昌专卖店
",等更多商家,699.00,255笔,527953705339,
"
飞利浦上游专卖店
",等更多商家,1299.00,224笔,539466259927,
"
享基电器专营店
",等更多商家,239.00,121笔,555720250076,
"
伊莱克斯家美佳专卖店
",等更多商家,699.00,144笔,42526183914,
"
美的聚爱轩专卖店
",等更多商家,399.00,902笔,549411593046,
"
京华电器旗舰店
",等更多商家,568.00,190笔,21182991539,
"
韩夫人酷比专卖店
",等更多商家,299.00,410笔,553215234213,
"
韩夫人子曰专卖店
",等更多商家,259.00,423笔,547223524449,
"
荣事达金泉专卖店
",等更多商家,99.00,3908笔,553359681999,
"
小狗电器旗舰店
",等更多商家,1899.00,633笔,546445773212,
"
小狗电器旗舰店
",等更多商家,289.00,1121笔,521542045266,
"
美的吸尘器旗舰店
",等更多商家,399.00,2271笔,551737375330,
"
dyson戴森官方旗舰店
",等更多商家,2590.00,1089笔,548476118421,
"
dyson戴森官方旗舰店
",等更多商家,3690.00,691笔,548452717637,
"
美的吸尘器旗舰店
",等更多商家,499.00,643笔,523874979921,
"
亿力浙江专卖店
",等更多商家,219.00,542笔,39359141697,
"
扬子华派专卖店
",等更多商家,159.00,320笔,539746476338,
"
杰诺旗舰店
",等更多商家,2579.00,197笔,12854379206,
"
莱克家用电器专营店
",等更多商家,1599.00,243笔,544577406954,
"
宝家丽贝多专卖店
",等更多商家,149.00,452笔,525834342012,
"
康庄电器专营店
",等更多商家,356.00,488笔,39483504114,
"
philips金舜源专卖店
",等更多商家,579.00,133笔,538778309268,
"
豆芽菜电器专营店
",等更多商家,179.00,1492笔,548103540074,
"
欧圣电器旗舰店
",等更多商家,169.00,242笔,524628791038,
"
杰诺旗舰店
",等更多商家,1979.00,668笔,553388147504,
"
松下颜港专卖店
",等更多商家,299.00,309笔,522810579249,
"
杰诺宏奥专卖店
",等更多商家,1099.00,831笔,553186157781,
"
飞利浦润氏专卖店
",等更多商家,1899.00,99笔,43817794326,
"
欧圣电器旗舰店
",等更多商家,149.00,503笔,541022883914,
"
韩夫人诺希专卖店
",none,299.00,290笔,522654953805,
"
philips泰璞专卖店
",none,1199.00,95笔,527105696823,
"
杰诺宏奥专卖店
",none,599.00,149笔,527084985367,
"
莱克米标专卖店
",none,2599.00,327笔,526917455427,
"
家宝风旗舰店
",none,349.00,208笔,537490743571,
"
家宝风旗舰店
",none,109.00,334笔,524341892623,
"
tek科昂专卖店
",none,2299.00,60笔,549402696208,
